SKU,UOM,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0110053,Units,489,186,278,279,506,440,293,303,130,537,518,100
0110054,Units,247,61,53,263,23,244,131,16,96,76,163,234
0110056,Units,302,44,282,340,121,311,168,286,300,93,208,255
0110124,Units,209,367,520,336,475,375,173,205,396,286,310,481
0110125,Units,352,310,402,155,342,453,380,472,327,414,381,144
0110127,Units,3,7,4,8,12,7,9,9,2,8,3,7
0110132,Units,11,41,32,8,7,25,4,33,4,23,7,38
0110239,Units,250,32,336,14,55,70,18,318,299,49,134,380
0110742,Units,180,401,162,206,75,316,303,347,62,217,41,93
0111120,Units,0,0,0,0,0,0,0,0,0,0,0,0
0140005,Units,129,240,519,90,420,242,66,26,321,150,576,281
0140006,Units,1,0,1,1,0,0,0,1,1,0,1,0
0140013,Units,1225,810,1094,1099,429,671,39,284,212,175,1481,28
0140014,Units,198,512,742,360,528,752,529,189,505,779,782,761
0140016,Units,253,369,351,413,111,293,104,280,252,129,82,177
0140020,Units,183,68,367,267,228,8,243,72,189,61,150,160
0140023,Units,2308,1487,294,2770,3019,3410,2785,352,1160,994,3319,3321
0140038,Units,169,265,290,422,316,468,226,341,37,138,78,506
0140045,Units,204,45,32,229,40,163,178,54,145,153,196,167
0140046,Units,236,299,28,354,592,118,183,6,72,629,434,158
0140047,Units,8,207,50,288,341,148,80,6,130,248,307,283
0140048,Units,49,237,47,207,91,7,124,35,78,220,159,101
0140049,Units,91,42,198,254,17,325,211,6,149,243,217,285
0140050,Units,10,191,301,68,145,296,161,175,213,98,318,242
0140051,Units,108,383,403,165,337,366,370,64,197,159,56,47
0140052,Units,181,292,240,306,357,421,164,40,378,168,397,261
0140083,Units,268,202,1484,601,1750,1297,922,412,2520,1490,912,1997
0140084,Units,97,19,139,89,164,87,78,168,173,181,185,189
0140098,Units,981,542,817,1329,938,318,875,630,487,1169,1114,1355
0140099,Units,496,888,1218,733,1575,149,10,798,521,46,1135,784
