SKU,CategoryCode,SKUStatus,SupplierNumber
110053,460,Active,3452
110054,460,Active,3452
110056,460,Active,3452
110124,460,Active,3452
110125,460,Active,3452
110127,700,Pre Active,2075
110132,460,Pre Active,2044
110239,460,Active,52070
110742,460,Active,52070
111120,460,Discontinued,2044
140005,460,Active,3452
140006,460,Discontinued,52070
140013,460,Active,52070
140014,460,Active,52070
140016,460,Active,52070
140020,460,Active,3452
140023,460,Active,3452
140038,460,Active,3452
140045,460,Active,50282
140046,460,Active,3452
140047,460,Active,50282
140048,460,Active,50282
140049,460,Active,50282
140050,460,Active,50282
140051,460,Active,50282
140052,460,Active,50282
140083,460,Active,52070
140084,460,Active,52070
140098,460,Active,368
140099,460,Active,368
140101,460,Active,368
140129,460,Active,51726
140140,460,Active,3452
140142,460,Active,3452
140143,460,Active,3452
140144,460,Active,3452
140146,460,Discontinued,3452
140147,460,Active,3452
140148,460,Active,3452
140149,460,Active,3452
140172,460,Active,3452
140186,460,Active,3452
140187,460,Discontinued,825
140202,460,Active,3452
140212,460,Active,52070
140213,460,Active,52070
140228,460,Active,52070
140229,460,Active,16934
140237,460,Discontinued,1172
140242,460,Active,1114
140243,460,Active,1114
140250,460,Active,95
140264,460,Active,3452
140265,460,Active,3452
140267,460,Active,3452
140268,460,Discontinued,3452
140274,460,Discontinued,52070
140491,460,Active,51726
140665,460,Discontinued,5638
140681,460,Active,3452
140699,460,Active,51726
140715,460,Active,51726
140798,460,Active,52070
140806,460,Active,51726
140939,460,Active,52070
140947,460,Active,52070
141002,460,Active,52070
141010,460,Active,51726
141119,460,Discontinued,5638
141127,460,Active,5638
141135,460,Active,5638
141200,460,Active,46533
141218,460,Active,46533
141382,460,Active,3452
142422,460,Active,3452
142430,460,Active,3452
142448,460,Active,3452
142497,460,Active,3452
142554,460,Active,50282
142562,460,Active,50282
142570,460,Active,50282
142604,460,Active,50282
142711,460,Active,50282
400001,320,Active,32025
400002,320,Active,32025
400044,320,Active,32025
400069,320,Active,32025
400077,320,Active,32025
400143,320,Active,32025
400150,320,Active,32025
400168,320,Active,32025
400176,320,Active,32025
400184,320,Active,32025
400192,320,Active,32025
400200,320,Active,32025
400218,320,Active,32025
400226,320,Active,32025
400234,320,Active,32025
400242,320,Active,32025
400259,320,Active,32025
400267,320,Active,32025
400275,320,Active,32025
410187,320,Pre Active,2044
415000,320,Discontinued,2044
430008,320,Active,52070
430010,320,Active,52070
430018,320,Active,85243
430023,320,Active,52070
430026,320,Active,52070
430037,320,Active,52070
430041,320,Active,32025
430044,200,Discontinued,60309
430058,320,Active,446
430066,320,Active,446
430071,320,Active,52070
430074,320,Active,52070
430137,320,Active,3287
430138,320,Discontinued,3287
430139,320,Active,3287
430140,320,Active,3287
430165,320,Active,3287
430204,320,Active,446
430208,320,Active,446
430209,320,Active,446
430210,320,Active,446
430212,320,Active,446
430213,320,Active,446
430215,320,Active,32023
430216,320,Active,52070
430219,320,Active,3287
430221,320,Active,3287
430237,320,Active,32025
430253,320,Active,3287
430254,320,Active,3287
430255,320,Active,3287
430257,320,Active,3287
430258,320,Active,3287
430259,320,Active,3287
430260,320,Active,3287
430261,320,Active,3287
430262,320,Active,3287
430263,320,Active,3287
430265,320,Active,3287
430266,320,Active,3287
430267,320,Active,3287
430268,320,Active,3287
430269,320,Active,3287
430275,320,Discontinued,66673
430276,320,Discontinued,66673
430277,320,Discontinued,66673
430281,320,Discontinued,66673
430333,320,Active,446
430334,320,Active,446
430335,320,Active,446
430370,320,Active,52070
430375,320,Active,3287
430377,320,Active,1246
430391,320,Discontinued,52070
430394,320,Seasonal,446
430395,320,Discontinued,446
430424,320,Active,52070
430426,320,Active,52070
430429,320,Active,52070
430441,320,Active,52070
430444,320,Active,52070
430450,320,Active,446
430452,320,Active,446
430465,320,Active,52070
430469,320,Discontinued,5446
430471,320,Discontinued,5446
430850,320,Active,52070
430967,320,Active,32023
431205,320,Discontinued,52070
431635,320,Active,32025
431643,320,Active,32025
431650,320,Active,32025
431668,320,Active,32025
431676,320,Active,32025
431684,320,Active,32025
431692,320,Active,32025
431700,320,Active,32025
431742,320,Active,3287
431783,320,Active,3287
431817,320,Active,3287
431957,320,Active,3287
432245,320,Active,3287
432344,320,Active,52070
432351,320,Active,52070
432369,320,Active,52070
432377,320,Active,52070
432518,320,Active,52070
432591,320,Active,3287
432609,320,Active,3287
432625,320,Active,3287
432708,320,Active,3287
432724,320,Active,3287
432732,320,Active,3287
432765,320,Active,3287
433144,320,Active,3287
433169,320,Active,3287
433177,320,Active,3287
433185,320,Active,3287
433193,320,Active,3287
433359,320,Active,52070
433797,320,Active,52070
434019,320,Active,52070
434191,320,Active,52070
434365,320,Active,52070
434779,320,Active,52070
434795,320,Active,1731
439927,320,Discontinued,52070
450001,320,Active,52070
450022,320,Active,1731
450024,320,Active,1731
450030,320,Active,52070
450071,320,Active,52070
452151,320,Active,52070
470006,320,Active,1731
470011,320,Active,327
470012,320,Active,52070
470023,320,Discontinued,52070
470035,320,Active,52070
470526,320,Discontinued,52070
470682,320,Active,52070
700018,330,Active,36781
700020,330,Active,36781
700138,330,Active,46533
700146,330,Active,46533
700187,380,Active,36781
700249,360,Discontinued,16934
700250,360,Seasonal,16934
700251,360,Seasonal,16934
700257,330,Active,85243
700258,330,Active,85243
700259,330,Active,85243
700261,330,Active,85243
700268,380,Pre Active,36781
700269,380,Discontinued,36781
700284,450,Active,52070
700285,450,Active,52070
700318,450,Active,52070
700320,450,Active,52070
700322,450,Active,52070
700323,450,Active,52070
700324,450,Active,52070
700327,450,Active,52070
700332,450,Active,52070
700333,450,Active,52070
700338,330,Discontinued,52070
700339,330,Active,52070
700353,330,Active,1048
700395,450,Active,52070
700404,450,Active,52070
700405,450,Active,52070
700633,330,Active,36781
700849,330,Active,36781
700856,330,Active,36781
701003,330,Active,36781
701367,380,Active,36781
701375,380,Active,36781
702738,380,Active,36781
704353,330,Active,46533
704361,330,Active,46533
704502,330,Active,46533
704528,330,Active,46533
704866,330,Active,36781
705012,330,Active,46533
706036,330,Discontinued,46533
708404,330,Discontinued,60308
708412,330,Active,60308
708420,330,Active,60308
708438,330,Discontinued,60308
710324,200,Active,90000
720322,200,Active,30824
750018,700,Discontinued,53900
750101,450,Discontinued,113
750152,450,Discontinued,53900
750154,450,Discontinued,53900
752741,450,Active,53900
753699,450,Active,53900
755868,450,Active,53900
760009,380,Discontinued,2044
770035,380,Active,15851
770036,700,Discontinued,15851
770061,380,Active,82649
770071,380,Active,82649
770134,380,Active,82649
770145,380,Active,82649
770149,380,Active,5349
770271,700,Discontinued,15851
770289,700,Discontinued,15851
771113,380,Active,5349
771253,380,Active,15851
771444,380,Active,5349
771733,380,Active,5349
772202,380,Active,15851
772210,380,Active,15851
772301,380,Active,15851
772343,380,Active,15851
772384,380,Active,15851
772541,380,Active,15851
772632,380,Active,15851
772657,380,Active,15851
772822,380,Active,82649
772871,380,Active,82649
772889,380,Active,82649
772897,380,Active,82649
772905,380,Active,82649
1010004,330,Active,51726
1010005,330,Active,51726
1010006,330,Active,51726
1010007,330,Active,51726
1010008,330,Active,51726
